Questions,ANSWERS
55. What kind of leaves did Adam and Eve sew together to make clothes for themselves?,55. Fig (Gen 3:7)
"56. Who did Jesus say was the ""father of lies""?",56. The devil (John 8:44)
57. What was the name of the tower that the people were building when God confused their language?,57. Tower of Babel (Gen 11:9)
"59. Whose name means ""father of a great multitude""?",59. Abraham (Gen 17:5)
61. Which sea did the Israelites cross through to escape the Egyptians?,61. Red Sea (Exo 13:18)
"62. What is ""more dif cult than a camel going through the eye of a needle""?",62. A rich man entering the Kingdom of God (Matt 19:24)
63. For how many years did the Israelites wander in the wilderness?,63. Forty (Josh 5:6)
"64. What does a ""good tree"" bring forth?",64. Good fruit (Matt 7:17)
"65. Which small body part can ""boast of great things""?",65. Tongue (Jam 3:5)
66. What was the name of Abraham's first wife?,66. Sarah (Gen 17:15)
67. What did God do on the seventh day after he had finished creating everything?,67. Rested (Gen 2:2)
68. On what day did the apostles receive the Holy Spirit?,68. Day of Pentecost (Acts 2:1)
69. At the Last Supper what items of food and drink did Jesus give thanks for?,69. Bread and wine (Matt 26:27)
70. When Jesus was in the wilderness what was he tempted to turn into loaves of bread?,70. Stones (Matt 4:3)
71. What were the religious leaders called who continually tried to trap Jesus with their questions?,71. Pharisees and Sadducees (Mrk 10:2)
72. What miracle did Jesus do for Lazarus?,72. Raised him from the dead (John 11:44) 
73. On which mountain were the Israelites given the Ten Commandments?,73. Mt. Sinai (Exo 34:32)
74. Who was Solomon's father?,74. David (1 Ki 2:12)
75. What job did Jesus' earthly father Joseph do?,75. Carpenter (Matt 13:55)
76. How did Judas betray Christ?,76. With a kiss (Luke 22:48)
77. Solomon judged wisely over the rightful mother of a child but how did he determine who the child belonged to?,77. Threatened to divide the child (with a sword) (1 Ki 3:25)
78. Whose father was prepared to sacrifice him on an altar?,78. Isaac (Gen 22:9)
79. At the age of twelve Jesus was left behind in Jerusalem. Where did his parents find him?,79. In the temple (Luke 2:46)
80. When the disciples saw Jesus walking on water what did they think he was?,80. A ghost (Matt 14:26)
81. What gift did Salome daughter of Herodias ask for after she danced for Herod?,81. John the Baptist's head (Matt 14:8) 
82. How did Samson kill all the people in the temple?,82. Pushed the pillars over and the temple collapsed (Jdg 16:30)
83. Which musical instrument did David play for Saul?,83. Harp / Lyre (1 Sam 16:23)
85. Why did Jacob initially send Joseph's brothers into Egypt?,85. To buy corn (Gen 42:2)
86. Who was David's great friend?,86. Jonathan (1 Sam 18:1)
"87. Who said ""thy God shall be my God""?",87. Ruth (Ruth 1:16)
88. Which of Christ's belongings did the soldiers cast lots for after they had crucified him?,88. His (seamless) coat (Matt 27:35)
89. What does the name Emmanuel mean? ,89. God with us (Matt 1:23)
90. What does James say we should do if we lack wisdom?,90. Ask God for wisdom in faith (Jam 1:5) 
91. Where did Jesus meet the woman of Samaria?,91. By a well (John 4:7)
92. Which disciple tried to walk on water as Jesus did?,92. (Simon) Peter (Matt 14:29)
93. Why did Elimelech go to live in Moab with his family?,93. Famine in his home town (Ruth 1:1) 
95. With whom did David commit adultery?,95. Bathsheba (2 Sam 11:4)
96. When the Prodigal Son returned his father gave him a robe shoes and what other item?,96. Ring (Luke 15:22)
98. What are the names of Lazarus' sisters?,98. Mary and Martha (John 11:1)
99. Where did Jonah go after being thrown overboard and reaching dry land?,99. Nineveh (Jon 3:3)
100. For what did Esau sell his birthright to Jacob?,100. A meal (Gen 25:34)
101. What happened to Elimelech in Moab?,101. He died (Ruth 1:3)
102. What does the shepherd in the parable of the lost sheep do once he realizes one is missing?,102. Goes and looks for it (Matt 18:12)
103. What is the name of the disciple who betrayed Jesus?,103. Judas Iscariot (Mrk 14:10)
104. What golden animal did the Israelites make as an idol?,104. Calf (Exo 32:4)
105. Who did Jesus appear to first after his resurrection?,105. Mary Magdalene (Mrk 16:9)
106. What job did Peter and Andrew do?,106. Fishermen (Matt 4:18)
107. Which prophet tried to flee from God when asked to preach God's message in Nineveh?,107. Jonah (Jon 1:3)
108. What is the collective name of the stories Jesus told to convey his message?,108. Fulfilling Isaiah's prophecy (Matt 13:13)
109. What was noticeable about Jacob's twin brother Esau at birth?,109. He was red and hairy (Gen 25:25)
110. Who wanted to kill Jesus when he was a baby?,110. Herod (the Great) (Matt 2:13)
111. What did the earth look like in the beginning?,111. Without form and empty (Gen 1:2)
112. How did the father first respond upon seeing the Prodigal Son returning home?,112. He ran out and embraced him (Luke 15:20)
"113. Which well known Psalm of David contains the line ""he maketh me to lie down in green pastures""?",113. Psalm 23 (Ps 23:2)
114. Abraham's wife Sarah bore a special son. What was his name?,114. Isaac (Gen 17:19)
115. Which son did Jacob love more than all the others?,115. Joseph (Gen 37:3)
116. Who was Jacob's grandfather?,116. Abraham (Matt 1:2)
117. To which city will all nations one day go to worship God?,117. Jerusalem (Zec 14:16)
"118. Who said ""I am the true vine""?",118. Jesus (John 15:1)
119. When there was no water to drink in the wilderness how did Moses provide it?,119. God told him to strike a rock (Exo 17:6)
120. To which tribe did Jesus belong?,120. Judah (Heb 7:14)
121. What tragedy did Jacob think had happened to Joseph?,121. An evil beast had devoured him (Gen 37:33)
122. What affliction did Hannah suffer from that allowed Peninnah to provoke her?,122. She was barren (1 Sam 1:6)
"123. Which is the gate that ""leads to life""?",123. The narrow gate (Matt 7:14)
124. What happened to the man who built his house upon the sand?,124. His house fell fiat (Matt 7:27)
125. What was the relationship of Mary (mother of Jesus) to Elisabeth?,125. Cousin (Luke 1:36)
126. How should we treat those who are our enemies according to Jesus?,126. Love your enemies bless them that curse you (Matt 5:44)
"127. Who said ""Thou art my beloved Son in thee I am well pleased""?",127. God (Mrk 1:11)
128. Which son did Jacob not send to Egypt for grain during the famine?,128. Benjamin (Gen 42:4)
130. Who suggested that Jonah be thrown overboard?,130. Jonah himself (Jon 1:12)
131. What did Ruth do to Boaz while he was sleeping?,131. Uncovered his feet and lay down next to him (Ruth 3:7)
132. As Esau grew what was he was described as?,132. Cunning hunter (Gen 25:27)
133. When Jesus went to dinner at Simon the Pharisee's house what did a woman do for him?,133. Washed and anointed his feet with precious ointment (Luke 7:38)
134. What was Bathsheba doing when David first saw her?,134. Washing herself (2 Sam 11:2)
135. When the law was given to the children of Israel what were they told not to worship?,135. Other gods (Exo 34:14)
136. Who ran from Mount Carmel to Samaria faster than Ahab could drive his chariot?,136. Elijah (1 Ki 18:46)
137. How many sons did Jacob (Israel) have?,137. Twelve (Gen 35:22)
138. Which disciple wanted to see the imprint of the nails before he would believe?,138. Thomas (John 20:25)
139. Which king dreamed about a large statue of a man made from different metals?,139. Nebuchadnezzar (Dan 2:1)
140. What form did the Holy Spirit take at the baptism of Jesus?,140. Dove (Luke 3:22)
143. What was the first thing Noah built when he came out of the ark?,143. Altar (Gen 8:20)
144. Who claimed that the golden calf simply came out of the fire?,144. Aaron (Exo 32:24)
145. Towards which city was Saul travelling when he encountered a light from heaven?,145. Damascus (Acts 9:3)
146. What did the sailors of the ship Jonah was on do to increase their chances of survival?,146. Threw the cargo overboard (Jon 1:5)
147. Who was Jacob's mother?,147. Rebekah (Gen 27:11)
148. How long will the Kingdom of God last?,148. Forever (2 Pe 1:11)
150. In which town was Jesus born?,150. Bethlehem (Matt 2:1)
152. How were the Thessalonians told to pray?,152. Without ceasing (1 Th 5:17)
153. What happened to the city of Jericho after the priests blew their trumpets?,153. Walls fell down (Josh 6:20)
154. Which garden did Jesus go to to pray in before his arrest?,154. Gethsemane (Matt 26:36)
155. Who was instructed by God to leave his home and family to travel to a country he did not know?,155. Abraham (Abram) (Gen 12:1)
"156. What was Jesus teaching about when he said ""What therefore God hath joined together let not man put asunder""?",156. Marriage (and divorce) (Matt 19:6) 
158. What was Jonah found doing on the ship while the storm was raging?,158. Sleeping (Jon 1:5)
159. Five of the Ten Virgins did not take enough of what?,159. Oil (Matt 25:3)
160. What was the name of Joseph's master in Egypt?,160. Potiphar (Gen 37:36)
161. Aaron turned his rod into a serpent before Pharaoh and Pharaoh's magicians did likewise but what happened to their serpents?,161. Aaron's rod swallowed them (Exo 7:12)
162. To which country did Mary and Joseph escape when Herod killed all the babies in Bethlehem?,162. Egypt (Matt 2:13)
163. What is the name of the angel who appeared to Mary?,163. Gabriel (Luke 1:26)
164. Which land did the Lord promise to Abram?,164. Canaan (Gen 17:8)
"165. What should we ""seek first""?",165. The Kingdom of God and his righteousness (Matt 6:33)
167. In the parable of the ten virgins what were they waiting for?,167. Bridegroom (Matt 25:1)
168. What event occurred to help release Paul and Silas from prison?,168. Earthquake (Acts 16:26)
169. Which prisoner did the crowd call for to be released when Pilate asked them?,169. Barabbas (Matt 27:21)
"170. How does James say we should ""treat the rich and the poor""?",170. Do not judge them but treat them impartially (Jam 2:1)
"172. When Jesus asked ""whom say ye that I am?"" what did Peter reply?",172. Thou art the Christ the Son of the Living God (Matt 16:16)
173. What did King Solomon ask for when God appeared to him in a dream?,173. Wisdom (to judge between good and evil) (1 Ki 3:9) 
174. What will happen to the people who do not accept the kingdom of God like a child?,174. They shall not enter (Luke 18:17)
175. How did the angel of the Lord appear to Moses when he was a shepherd?,175. From within a burning bush (Exo 3:2)
176. Which of David's descendants will reign forever? ,176. Jesus (Luke 1:33)
177. On what mountain did Moses receive the law from God?,177. Mount Sinai (Lev 26:46)
178. Which of his wives did Jacob love the most?,178. Rachel (Gen 29:30)
179. What was the name of the ark where the commandments given to Moses were to be kept?,179. Ark of the Covenant (Deut 10:2)
180. What did Jesus say to those who accused the adulteress?,180. He that is without sin let him first cast a stone (John 8:7)
"181. Where is the ""best place to pray""? ",181. In your closet with the door shut (Matt 6:6) 
"182. What does James say happens if we ""draw nigh to God""?",182. He will draw nigh to us (Jam 4:8)
183. Where was Jesus baptized?,183. River Jordan (Mrk 1:9)
"185. Which city ""came down from heaven prepared as a bride""?",185. New Jerusalem (Rev 21:2)
186. At Capernaum how did the man sick of the palsy gain access to the house in which Jesus was?,186. Through the roof (Mrk 2:4)
187. What did God breathe into Adam's nostrils? ,187. The breath of life (Gen 2:7)
188. What did Pharaoh's dream of good and bad ears of wheat represent?,188. Seven years of plenty followed by seven years of famine (Gen 41:29) 
189. To whom was the Revelation of Jesus Christ given?,189. John (Rev 1:1)
190. How long was Jonah stuck inside the great fish for?,190. Three days (Jon 1:17)
191. When Jesus walked on water which sea was it? ,191. Sea of Galilee (John 6:1)
192. Who told Joseph that Jesus would save his people from their sins?,192. Angel of the Lord (Matt 1:21)
193. Where did the man who received one talent from his master hide it?,193. In the ground (Matt 25:25)
"194. To whom did Jesus say ""Why are ye fearful O ye of little faith""?",194. The disciples (Matt 8:26)
195. What was the name of Hagar's son?,195. Ishmael (Gen 16:15)
196. Who was Jacob's first wife?,196. Leah (Gen 29:23)
197. What was Jesus wrapped in when he was born?,197. Swaddling clothes (Luke 2:7)
198. What did the Israelites do whilst Moses was receiving the Ten Commandments from God?,198. Made a golden calf (Deut 9:16)
199. What guided the Israelites through the wilderness?,199. A pillar of cloud and of fire (Exo 13:21) 
200. At what age did Jesus start his ministry?,200. Thirty (Luke 3:23)
201. What animal spoke to Balaam?,201. Donkey (Num 22:28)
203. What happened to Daniel after he gave thanks to God by his open window?,203. He was thrown into the lions' den (Dan 6:16)
204. What was Jonah's reaction to the way the people of the city of Nineveh responded to God's message?,204. He was angry (Jon 4:1)
205. Zacharias and Elizabeth were told by an angel that they would have a son. What was he to be called?,205. John (Luke 1:13)
206. How did Jesus say we should receive the Kingdom of God?,206. As a little child (Luke 18:17)
207. What happened to anyone who was not found written in the book of life?,207. They were cast in the lake of fire (Rev 20:15)
208. In his Sermon on the Mount what does Jesus say about tomorrow?,208. Take no thought for it (Matt 6:34)
209. What did Joseph instruct to be put in Benjamin's sack?,209. His grain money and a silver cup (Gen 44:2)
210. What did Paul do to the soothsayer?,210. Commanded the spirit of divination to leave her (Acts 16:18)
211. What was the name of the place where Jesus Christ was crucified?,211. Golgotha / Calvary (John 19:17)
212. What object featured in Jacob's dream at Bethel?,212. Ladder (Gen 28:12)
213. What are the names of Joseph's parents?,213. Jacob and Rachel (Gen 46:19)
214. What animal did Samson kill on his way to Timnah?,214. Lion (Jdg 14:6)
215. What was the name of Ruth's second husband?,215. Boaz (Ruth 4:13)
218. Which prophet anointed David as king?,218. Samuel (1 Sam 16:13)
"219. A ""soft answer turneth away..."" what?",219. Wrath (Pro 15:1)
220. What job did the Prodigal Son end up taking after he had spent his inheritance?,220. Pig feeder (Luke 15:15)
"221. Why shouldn't we give anyone the title of ""Father""?",221. We have one father who is in heaven (Matt 23:9)
222. What kind of water does Jesus discuss with the Samaritan woman at the well?,222. Living water (John 4:10)
223. How did Jesus heal the blind man? ,223. He covered his eyes with clay and told him to wash (John 9:7)
224. Where did Jesus find Zacchaeus the tax collector?,224. Up a tree (Luke 19:5)
225. What is the name of Jesus' cousin born six months before him?,225. John (Luke 1:36)
226. Who was the first child born?,226. Cain (Gen 4:1)
"227. Which apostle who was described as ""full of grace and power and doing great wonders and signs among the people"" was stoned to death?",227. Stephen (Acts 7:59)
228. Who deceived Jacob by giving Leah as a wife instead of Rachel?,228. Laban (Gen 29:25)
229. What did Jesus send disciples to fetch on his triumphal entry into Jerusalem?,229. Donkey and colt (Matt 21:2)
230. In the parable of the lost sheep how many sheep did the shepherd count safely into the fold?,230. Ninety-nine (Matt 18:12)
231. What does James say we should say when we make our future plans?,231. If the Lord will I will do this or that (Jam 4:15)
232. What type of coin did Judas accept as payment for betraying Jesus?,232. Silver (Matt 26:15)
233. What was the writer of the letter asking of Philemon?,233. To receive his slave back as a brother in Christ (Phm 1:17)
234. What was the covenant between God and Noah? ,234. Never to fiood the earth again (Gen 9:11)
236. To what object does James compare the tongue?,236. The rudder on a ship (Jam 3:4)
237. Which of David's sons rebelled against him?,237. Absalom (2 Sam 15)
238. What does Paul say about women's long hair?,238. It is a glory to her (given as a covering) (1 Cor 11:15)
239. What did Naomi tell the people in Bethlehem to call her?,239. Mara (Ruth 1:20)
"240. When Jesus told his disciples to beware of the ""leaven of the Pharisees and Sadducees"" to what was he referring?",240. The doctrines of the Pharisees and Sadducees (Matt 16:12)
241. How was Daniel protected from the lions in the den?,241. An angel shut their mouths (Dan 6:22)
"242. ""Everyone that is proud in heart"" is what to the Lord?",242. An abomination (Pro 16:5)
243. What did John the Baptist say when he saw Jesus?,243. Behold the Lamb of God! (John 1:29)
244. How did the city that Jonah was sent to react to God's message of destruction?,244. They repented (Jon 3:8)
245. Who asked Jesus to remember him when he came into his kingdom?,245. The criminal on the cross (Luke 23:42)
246. Of what specifically was man not allowed to eat in the Garden of Eden?,246. Tree of knowledge of good and evil (Gen 2:17)
247. What was Solomon famous for building?,247. Temple (1 Ki 7:51)
"248. Jesus asked: ""Can the blind lead the....?""",248. Blind (Luke 6:39)
250. What is Paul's command to husbands in his letter to the Colossians?,250. Love your wives and do not be bitter towards them (Col 3:19)
251. Which river was Naaman told to wash in to rid himself of leprosy?,251. Jordan (2 Ki 5:10)
"252. What miracle had Jesus performed when he said ""It is I; be not afraid""?",252. Walking on water (John 6:19) 
253. Why did Solomon turn away from God when he was old?,253. His foreign wives turned his heart after other gods (1 Ki 11:4)
255. In what city was Jesus brought up as a child?,255. Nazareth (Matt 2:23)
"256. Which female judge described herself as ""a mother in Israel""?",256. Deborah (Jdg 5:7)
257. After the angels had announced the birth of Christ and left the shepherds what did the shepherds do?,257. Went quickly to Bethlehem (Luke 2:15)
"258. According to Peter what ""covers a multitude of sins""?",258. Love (1 Pe 4:8)
259. In prison for whom did Joseph interpret dreams?,259. The butler and the baker (Gen 40:5)
260. To what preservative does the Lord compare his disciples?,260. Salt (Matt 5:13)
261. What was Jesus' first miracle?,261. Changing water into wine (John 2:11)
262. Who spotted Moses in the Nile placed in an ark of bulrushes?,262. Pharaoh's daughter (Exo 2:5)
263. Who was Bathsheba's first husband?,263. Uriah (2 Sam 11:3)
264. Why were Daniel's three friends thrown into the fiery furnace?,264. They wouldn't bow down to Nebuchadnezzar's golden image (Dan 3:11)
265. Out of the ten lepers who Jesus healed how many came back to say thank you?,265. One (Luke 17:15)
266. What did Jesus say the sellers had turned his house of prayer into?,266. A den of thieves (Luke 19:46)
267. In the New Jerusalem where are the names of the twelve tribes written?,267. On the twelve gates (Rev 21:12)
268. How often was the year of the Lord's release?,268. Every seven years (Deut 15:1)
269. Which tribe of Israel looked after the religious aspects of life?,269. Levi (Num 18:23)
270. Where was Paul when he wrote the letter to Philemon?,270. In prison (Phm 1:23)
"271. Who preached ""Repent ye: for the kingdom of heaven is at hand""?",271. John the Baptist (Matt 3:1)
272. What was the name of James' and John's father?,272. Zebedee (Mrk 10:35)
273. What bird did God provide to the Israelites for meat in the wilderness?,273. Quail (Exo 16:13)
274. Who closed the door of Noah's ark?,274. God (Gen 7:16)
"275. ""Hate stirs up strife"" but what does love cover?",275. All sins (Pro 10:12)
"276. Who wrote the line: ""The Lord is my Shepherd I shall not want""?",276. David (Ps 23:1)
277. Which prisoners experienced an earthquake after their prayer?,277. Paul and Silas (Acts 16:26)
278. What was the name of Joseph's youngest brother?,278. Benjamin (Gen 44:12)
279. Who did Jesus pray for that his faith failed not?,279. (Simon) Peter (Luke 22:32)
280. What was the new name given to Daniel while in captivity?,280. Belteshazzar (Dan 1:7)
281. Which wise man wrote the majority of Proverbs?,281. Solomon (Pro 1:1)
282. Which king asked for the foreskins of 100 Philistines?,282. Saul (1 Sam 18:25)
283. Who rolled away the tomb stone?,283. An Angel (Matt 28:2)
284. What did Samson find in the carcass of the animal he had killed at a later time?,284. Bees and honey (Jdg 14:8)
"285. What is ""friendship with the world"" according to James?",285. Enmity with God (Jam 4:4)
"286. Who said ""glory to God in the highest and on earth peace goodwill to men""?",286. Angels (Luke 2:13)
288. When Samuel was called by the Lord as a child who did he think was calling?,288. Eli the priest (1 Sam 3:6)
"289. To whom did Jesus say ""Truly truly I say to you unless one is born again he cannot see the kingdom of God""?",289. Nicodemus (John 3:3)
290. Who does Paul say is head of the woman?,290. Man (1 Cor 11:3)
291. Who sang a song celebrating the downfall of Sisera?,291. Deborah & Barak (Jdg 5:1)
"292. What happens to ""treasure laid up on earth""?",292. Becomes corrupted and thieves steal it (Matt 6:19) 
293. Whose mother was instructed to drink no wine or strong drink during her pregnancy?,293. Samson's (Jdg 13:7)
294. Who was the successor to Moses?,294. Joshua (Josh 1:1)
"295. What should you not ""throw before swine""?",295. Pearls (Matt 7:6)
296. What was the name of the woman who hid the spies at Jericho?,296. Rahab (Josh 2:1)
"297. In the letter to the Corinthians who does Paul say is a ""new creature""?",297. Any man in Christ (2 Cor 5:17)
298. Which prophet is recorded as having an earnest prayer for no rain answered?,298. Elijah (Jam 5:17)
299. According to Thessalonians what will happen to the believers alive at the return of Christ?,299. They will be caught up together in the clouds (1 Th 4:17)
300. How did the Philistines discover the answer to Samson's riddle?,300. They threatened Samson's bride who told them (Jdg 14:15)
302. What was the reason that Jacob and his family began a new life in Egypt?,302. Famine in Canaan (Gen 47:4)
303. How was Isaac's wife chosen?,303. His father sent a servant back to Mesopotamia to choose a wife from his own family (Gen 24:7)
305. What was the name of Solomon's son who succeeded him as king?,305. Rehoboam (1 Ki 11:43)
306. How did the people listening to the Sermon on the Mount view Jesus' teachings?,306. He taught as one with authority (Matt 7:29)
307. What does faith require to make it a living faith?,307. Works (Jam 2:17)
308. What did Jesus say you should do if someone asks you to go with them for a mile?,308. Go with them for two miles (Matt 5:41)
309. In the parable of the grain of mustard seed when it becomes a tree birds come and do what?,309. Build nests (Matt 13:32)
310. The field that Judas Iscariot purchased with his betrayal money was called Aceldama but as what was it also known?,310. Field of Blood (Acts 1:19)
311. Who did Jesus raise from the dead by a prayer of thanks to God?,311. Lazarus (John 11:41)
"312. The king's wrath is as ""the roaring"" of what?",312. A lion (Pro 19:12)
313. What was the name of Ruth's son?,313. Obed (Ruth 4:17)
314. According to James what happens if you break one commandment of the law?,314. You are guilty of breaking the whole law (Jam 2:10)
"315. ""… thou sluggard!"". What animal should we take lessons from?",315. Ant (Pro 6:6)
316. How did the wise men know that the King of the Jews had been born?,316. They saw a star in the East (Matt 2:2)
317. What test did Elijah set the prophets of Baal which failed proving their god to be false?,317. Lighting a fire under the sacrifice on the altar (1 Ki 18:24)
318. Who was the tax collector that climbed up a tree so he could see Jesus?,318. Zacchaeus (Luke 19:5)
319. What is Jesus' final commission to his disciples?,319. Teach all nations baptizing them (Matt 28:19)
320. The Lord said that Jacob and Esau were two what in the womb?,320. Nations (Gen 25:23)
"322. What happens to the man who ""puts his hand to the plough and looks back""?",322. He is not fit for the Kingdom of God (Luke 9:62)
323. What did Samson do to the Philistines' crops after discovering his bride had been given to someone else?,323. Burned them (Jdg 15:5)
324. Who was Jesus talking to when he taught the Lord's Prayer?,324. Disciples (Matt 5:1)
326. To the beauty of which plant did Jesus compare to King Solomon?,326. Lilies (of the field) (Luke 12:27)
327. What was on top of the Ark of the Covenant?,327. The mercy seat and two cherubim (Exo 25:22)
328. Who came to see Jesus by night?,328. Nicodemus (John 19:39)
329. For how long was the dragon bound in the bottomless pit?,329. 1000 years (Rev 20:2)
331. For how many pieces of silver did Judas betray Christ?,331. Thirty (Matt 26:15)
332. Who did Abram marry?,332. Sarai (Gen 11:29)
333. What did Jesus say he would leave with the disciples?,333. Peace (John 14:27)
334. What did Paul ask Philemon to have ready for him?,334. A room (Phm 1:22)
335. In Egypt what did Joseph accuse his brothers of at their first meeting?,335. Being spies (Gen 42:9)
336. Where did Jesus first see Nathanael?,336. Under the fig tree (John 1:48)
337. Which disciple was a tax collector?,337. Matthew (Levi) (Luke 5:27)
338. Which city was the letter to Philemon written from?,338. Rome (while under house arrest) (Phm 1:23)
339. What horrific act did the women do to their children during the Babylonian siege of Jerusalem?,339. Boiled and ate them (Lam 4:10)
340. What does the name Abraham mean?,340. Father of a multitude (Gen 17:5)
341. When the Pharisees asked Jesus whether it was lawful to pay taxes to Caesar what object did he use to answer their question?,341. A penny (denarius) (Matt 22:19)
342. When Philip and the Ethiopian eunuch arrive at some water what does the eunuch say?,342. What is there to stop me getting baptized? (Acts 8:36)
"343. Who said to Mary ""Blessed are you among women and blessed is the fruit of your womb!""?",343. Elisabeth (Luke 1:41)
346. About what age was Jesus when he was baptized?,346. Thirty (Luke 3:23)
349. What was the first temptation of Christ?,349. To turn a stone into bread (Matt 4:3)
350. After the first king of Israel failed God what was the name of the second man who was anointed king?,350. David (1 Sam 16:13)
351. What type of tree did Zacchaeus climb to see Jesus?,351. Sycamore (Luke 19:4)
352. When Jesus forgave the sins of the sick man let down through the roof to him to what did the Pharisees object?,352. They thought only God could forgive sins (Mrk 2:7) 
353. What was the name of Abraham's nephew?,353. Lot (Gen 12:5)
354. Which tribe followed David after the split of the Kingdom of Israel?,354. Judah (1 Ki 12:20)
355. What did James' and John's mother ask of Jesus?,355. For her sons to sit on Jesus' right and left hands in the kingdom (Matt 20:21)
356. What did the dove bring back to Noah?,356. Olive leaf (Gen 8:11)
358. Who was appointed to replace Judas Iscariot as a disciple?,358. Matthias (Acts 1:26)
359. What did Abraham's son carry for his sacrifice?,359. The wood (Gen 22:6)
361. What did Elisha do for the Shunammite's son?,361. Raised him back to life (2 Ki 4:34)
363. What were the names of Elimelech's two sons?,363. Mahlon & Chilion (Ruth 1:2)
364. Until when did Jesus remain in Egypt with his parents when he was a baby?,364. Until the death of Herod the Great (Matt 2:15) 
365. In the parable of the sower what does the seed represent?,365. Word of God (Luke 8:11)
366. What was the first plague the Lord sent upon Egypt?,366. Water turned into blood (Exo 7:21)
367. What did the disciples do when people brought their young children to Jesus?,367. They rebuked them (Matt 19:13)
368. Who does Jesus say are the two most important people to love?,368. God and your neighbor (Luke 10:27)
369. What happened to Jesus on the 8th day of his life?,369. He was circumcised (Luke 2:21)
370. Who looked after the coats of the men who stoned Stephen?,370. Saul (Acts 7:58)
371. What profession did Zebedee father of James and John have?,371. Fisherman (Matt 4:21)
372. Which two sisters married Jacob?,372. Rachel and Leah (Gen 29:28)
373. Into which land did God send Abraham to sacrifice his special son Isaac?,373. Moriah (Gen 22:2)
374. In Revelation what was the wife of the Lamb arrayed in?,374. Fine white linen (Rev 19:8)
375. Which Israelite woman had two Moabite daughters-in-law?,375. Naomi (Ruth 1:4)
376. When Peter was asked if Jesus paid temple taxes what animal concealed a coin with which to pay the taxes?,376. Fish (Matt 17:27)
378. What did God initially give man to eat?,378. Plants and Fruit (Gen 2:16)
379. Which city did David pray for the peace of?,379. Jerusalem (Ps 122:6)
