ID	Question	Verse_Code	KJV_Verse	ASV_Verse	YLT_Verse	WEB_Verse	Label
16	Which creature tricked Eve into eating of the forbidden fruit?	01003001	Now the serpent was more subtil than any beast of the field which the LORD God had made And he said unto the woman Yea hath God said Ye shall not eat of every tree of the garden 	Now the serpent was more subtle than any beast of the field which Jehovah God had made And he said unto the woman Yea hath God said Ye shall not eat of any tree of the garden 	And the serpent hath been subtile above every beast of the field which Jehovah God hath made and he saith unto the woman Is it true that God hath said Ye do not eat of every tree of the garden 	Now the serpent was more subtle than any animal of the field which Yahweh God had made He said to the woman Yes has God said You shall not eat of any tree of the garden 	1
17	Which creature tricked Eve into eating of the forbidden fruit?	01003002	And the woman said unto the serpent We may eat of the fruit of the trees of the garden 	And the woman said unto the serpent Of the fruit of the trees of the garden we may eat 	And the woman saith unto the serpent Of the fruit of the trees of the garden we do eat 	The woman said to the serpent Of the fruit of the trees of the garden we may eat 	0
18	Which creature tricked Eve into eating of the forbidden fruit?	01003003	But of the fruit of the tree which is in the midst of the garden God hath said Ye shall not eat of it neither shall ye touch it lest ye die 	but of the fruit of the tree which is in the midst of the garden God hath said Ye shall not eat of it neither shall ye touch it lest ye die 	and of the fruit of the tree which is in the midst of the garden God hath said Ye do not eat of it nor touch it lest ye die 	but of the fruit of the tree which is in the midst of the garden God has said You shall not eat of it neither shall you touch it lest you die 	0
19	At Christ's crucifixion what did the soldiers place on his head?	40027029	And when they had platted a crown of thorns they put it upon his head and a reed in his right hand and they bowed the knee before him and mocked him saying Hail King of the Jews 	And they platted a crown of thorns and put it upon his head and a reed in his right hand and they kneeled down before him and mocked him saying Hail King of the Jews 	and having plaited him a crown out of thorns they put it on his head and a reed in his right hand and having kneeled before him they were mocking him saying Hail the king of the Jews 	They braided a crown of thorns and put it on his head and a reed in his right hand and they kneeled down before him and mocked him saying Hail King of the Jews 	1
20	At Christ's crucifixion what did the soldiers place on his head?	40027027	Then the soldiers of the governor took Jesus into the common hall and gathered unto him the whole band of soldiers 	Then the soldiers of the governor took Jesus into the Praetorium and gathered unto him the whole band 	then the soldiers of the governor having taken Jesus to the Praetorium did gather to him all the band 	Then the governor s soldiers took Jesus into the Praetorium and gathered the whole garrison together against him 	0
21	At Christ's crucifixion what did the soldiers place on his head?	40027028	And they stripped him and put on him a scarlet robe 	And they stripped him and put on him a scarlet robe 	and having unclothed him they put around him a crimson cloak 	They stripped him and put a scarlet robe on him 	0
22	What relationship was Ruth to Naomi?	08001004	And they took them wives of the women of Moab the name of the one was Orpah and the name of the other Ruth and they dwelled there about ten years 	And they took them wives of the women of Moab the name of the one was Orpah and the name of the other Ruth and they dwelt there about ten years 	and they take to them wives Moabitesses the name of the one is Orpah and the name of the second Ruth and they dwell there about ten years 	They took them wives of the women of Moab the name of the one was Orpah and the name of the other Ruth and they lived there about ten years 	1
23	What relationship was Ruth to Naomi?	08001002	And the name of the man was Elimelech and the name of his wife Naomi and the name of his two sons Mahlon and Chilion Ephrathites of Bethlehemjudah And they came into the country of Moab and continued there 	And the name of the man was Elimelech and the name of his wife Naomi and the name of his two sons Mahlon and Chilion Ephrathites of Bethlehem judah And they came into the country of Moab and continued there 	And the name of the man is Elimelech and the name of his wife Naomi and the name of his two sons Mahlon and Chilion Ephrathites from Beth Lehem Judah and they come into the fields of Moab and are there 	The name of the man was Elimelech and the name of his wife Naomi and the name of his two sons Mahlon and Chilion Ephrathites of Bethlehem Judah They came into the country of Moab and continued there 	0
24	What relationship was Ruth to Naomi?	08001003	And Elimelech Naomi s husband died and she was left and her two sons 	And Elimelech Naomi s husband died and she was left and her two sons 	And Elimelech husband of Naomi dieth and she is left she and her two sons 	Elimelech Naomi s husband died and she was left and her two sons 	0
25	Who lied to God when he was asked where his brother was?	01004009	And the LORD said unto Cain Where is Abel thy brother And he said I know not Am I my brother s keeper 	And Jehovah said unto Cain Where is Abel thy brother And he said I know not am I my brother s keeper 	And Jehovah saith unto Cain Where is Abel thy brother and he saith I have not known my brother s keeper I 	Yahweh said to Cain Where is Abel your brother He said I don t know Am I my brother s keeper 	1
26	Who lied to God when he was asked where his brother was?	01004007	If thou doest well shalt thou not be accepted and if thou doest not well sin lieth at the door And unto thee shall be his desire and thou shalt rule over him 	If thou doest well shall it not be lifted up and if thou doest not well sin coucheth at the door and unto thee shall be its desire but do thou rule over it 	Is there not if thou dost well acceptance and if thou dost not well at the opening a sin offering is crouching and unto thee its desire and thou rulest over it 	If you do well will it not be lifted up If you don t do well sin crouches at the door Its desire is for you but you are to rule over it 	0
27	Who lied to God when he was asked where his brother was?	01004008	And Cain talked with Abel his brother and it came to pass when they were in the field that Cain rose up against Abel his brother and slew him 	And Cain told Abel his brother And it came to pass when they were in the field that Cain rose up against Abel his brother and slew him 	And Cain saith unto Abel his brother Let us go into the field and it cometh to pass in their being in the field that Cain riseth up against Abel his brother and slayeth him 	Cain said to Abel his brother Let s go into the field It happened when they were in the field that Cain rose up against Abel his brother and killed him 	0
28	Who showed his faith by being willing to offer his son on an altar to God?	59002021	Was not Abraham our father justified by works when he had offered Isaac his son upon the altar 	Was not Abraham our father justified by works in that he offered up Isaac his son upon the altar 	Abraham our father was not he declared righteous out of works having brought up Isaac his son upon the altar 	Wasn t Abraham our father justified by works in that he offered up Isaac his son on the altar 	1
29	Who showed his faith by being willing to offer his son on an altar to God?	59002019	Thou believest that there is one God thou doest well the devils also believe and tremble 	Thou believest that God is one thou doest well the demons also believe and shudder 	thou thou dost believe that God is one thou dost well and the demons believe and they shudder 	You believe that God is one You do well The demons also believe and shudder 	0
30	Who showed his faith by being willing to offer his son on an altar to God?	59002020	But wilt thou know O vain man that faith without works is dead 	But wilt thou know O vain man that faith apart from works is barren 	And dost thou wish to know O vain man that the faith apart from the works is dead 	But do you want to know vain man that faith apart from works is dead 	0
31	What was inscribed above Jesus' cross?	40027027	Then the soldiers of the governor took Jesus into the common hall and gathered unto him the whole band of soldiers 	Then the soldiers of the governor took Jesus into the Praetorium and gathered unto him the whole band 	then the soldiers of the governor having taken Jesus to the Praetorium did gather to him all the band 	Then the governor s soldiers took Jesus into the Praetorium and gathered the whole garrison together against him 	1
32	What was inscribed above Jesus' cross?	40027025	Then answered all the people and said His blood be on us and on our children 	And all the people answered and said His blood be on us and on our children 	and all the people answering said His blood is upon us and upon our children 	All the people answered May his blood be on us and on our children 	0
33	What was inscribed above Jesus' cross?	40027026	Then released he Barabbas unto them and when he had scourged Jesus he delivered him to be crucified 	Then released he unto them Barabbas but Jesus he scourged and delivered to be crucified 	Then did he release to them Barabbas and having scourged Jesus he delivered him up that he may be crucified 	Then he released to them Barabbas but Jesus he flogged and delivered to be crucified 	0
34	Whose mother placed him in an ark of bulrushes?	02002003	And when she could not longer hide him she took for him an ark of bulrushes and daubed it with slime and with pitch and put the child therein and she laid it in the flags by the river s brink 	And when she could not longer hide him she took for him an ark of bulrushes and daubed it with slime and with pitch and she put the child therein and laid it in the flags by the river s brink 	and she hath not been able any more to hide him and she taketh for him an ark of rushes and daubeth it with bitumen and with pitch and putteth the lad in it and putteth it in the weeds by the edge of the River 	When she could no longer hide him she took a papyrus basket for him and coated it with tar and with pitch She put the child in it and laid it in the reeds by the river s bank 	1
35	Whose mother placed him in an ark of bulrushes?	02002001	And there went a man of the house of Levi and took to wife a daughter of Levi 	And there went a man of the house of Levi and took to wife a daughter of Levi 	And there goeth a man of the house of Levi and he taketh the daughter of Levi 	A man of the house of Levi went and took a daughter of Levi as his wife 	0
36	Whose mother placed him in an ark of bulrushes?	02002002	And the woman conceived and bare a son and when she saw him that he was a goodly child she hid him three months 	And the woman conceived and bare a son and when she saw him that he was a goodly child she hid him three months 	and the woman conceiveth and beareth a son and she seeth him that he is fair and she hideth him three months 	The woman conceived and bore a son When she saw that he was a fine child she hid him three months 	0
37	For how many days and nights did it rain in the story of the flood?	01007012	And the rain was upon the earth forty days and forty nights 	And the rain was upon the earth forty days and forty nights 	and the shower is on the earth forty days and forty nights 	The rain was on the earth forty days and forty nights 	1
38	For how many days and nights did it rain in the story of the flood?	01007010	And it came to pass after seven days that the waters of the flood were upon the earth 	And it came to pass after the seven days that the waters of the flood were upon the earth 	And it cometh to pass after the seventh of the days that waters of the deluge have been on the earth 	It happened after the seven days that the waters of the flood came on the earth 	0
39	For how many days and nights did it rain in the story of the flood?	01007011	In the six hundredth year of Noah s life in the second month the seventeenth day of the month the same day were all the fountains of the great deep broken up and the windows of heaven were opened 	In the six hundredth year of Noah s life in the second month on the seventeenth day of the month on the same day were all the fountains of the great deep broken up and the windows of heaven were opened 	In the six hundredth year of the life of Noah in the second month in the seventeenth day of the month in this day have been broken up all fountains of the great deep and the net work of the heavens hath been opened 	In the six hundredth year of Noah s life in the second month on the seventeenth day of the month on the same day all the fountains of the great deep were burst open and the sky s windows were opened 	0
40	What was special about Jesus' mother?	40001023	Behold a virgin shall be with child and shall bring forth a son and they shall call his name Emmanuel which being interpreted is God with us 	Behold the virgin shall be with child and shall bring forth a son And they shall call his name Immanuel which is being interpreted God with us 	 Lo the virgin shall conceive and she shall bring forth a son and they shall call his name Emmanuel which is being interpreted With us he is God 	 Behold the virgin shall be with child And shall bring forth a son They shall call his name Immanuel Which is being interpreted God with us 	1
41	What was special about Jesus' mother?	40001021	And she shall bring forth a son and thou shalt call his name JESUS for he shall save his people from their sins 	And she shall bring forth a son and thou shalt call his name JESUS for it is he that shall save his people from their sins 	and she shall bring forth a son and thou shalt call his name Jesus for he shall save his people from their sins 	She shall bring forth a son You shall call his name Jesus for it is he who shall save his people from their sins 	0
42	What was special about Jesus' mother?	40001022	Now all this was done that it might be fulfilled which was spoken of the Lord by the prophet saying 	Now all this is come to pass that it might be fulfilled which was spoken by the Lord through the prophet saying 	And all this hath come to pass that it may be fulfilled that was spoken by the Lord through the prophet saying 	Now all this has happened that it might be fulfilled which was spoken by the Lord through the prophet saying 	0
43	Who gave gifts to Jesus when he was a young child?	40002011	And when they were come into the house they saw the young child with Mary his mother and fell down and worshipped him and when they had opened their treasures they presented unto him gifts gold and frankincense and myrrh 	And they came into the house and saw the young child with Mary his mother and they fell down and worshipped him and opening their treasures they offered unto him gifts gold and frankincense and myrrh 	and having come to the house they found the child with Mary his mother and having fallen down they bowed to him and having opened their treasures they presented to him gifts gold and frankincense and myrrh 	They came into the house and saw the young child with Mary his mother and they fell down and worshiped him Opening their treasures they offered to him gifts gold frankincense and myrrh 	1
44	Who gave gifts to Jesus when he was a young child?	40002009	When they had heard the king they departed and lo the star which they saw in the east went before them till it came and stood over where the young child was 	And they having heard the king went their way and lo the star which they saw in the east went before them till it came and stood over where the young child was 	And they having heard the king departed and lo the star that they did see in the east did go before them till having come it stood over where the child was 	They having heard the king went their way and behold the star which they saw in the east went before them until it came and stood over where the young child was 	0
45	Who gave gifts to Jesus when he was a young child?	40002010	When they saw the star they rejoiced with exceeding great joy 	And when they saw the star they rejoiced with exceeding great joy 	And having seen the star they rejoiced with exceeding great joy 	When they saw the star they rejoiced with exceedingly great joy 	0
46	What happened to Jonah after he was thrown overboard?	32001017	Now the LORD had prepared a great fish to swallow up Jonah And Jonah was in the belly of the fish three days and three nights 	And Jehovah prepared a great fish to swallow up Jonah and Jonah was in the belly of the fish three days and three nights 	And Jehovah appointeth a great fish to swallow up Jonah and Jonah is in the bowels of the fish three days and three nights 	Yahweh prepared a great fish to swallow up Jonah and Jonah was in the belly of the fish three days and three nights 	1
47	What happened to Jonah after he was thrown overboard?	32001015	So they look up Jonah and cast him forth into the sea and the sea ceased from her raging 	So they took up Jonah and cast him forth into the sea and the sea ceased from its raging 	And they lift up Jonah and cast him into the sea and the sea ceaseth from its raging 	So they took up Jonah and threw him into the sea and the sea ceased its raging 	0
48	What happened to Jonah after he was thrown overboard?	32001016	Then the men feared the LORD exceedingly and offered a sacrifice unto the LORD and made vows 	Then the men feared Jehovah exceedingly and they offered a sacrifice unto Jehovah and made vows 	and the men fear Jehovah a great fear and sacrifice a sacrifice to Jehovah and vow vows 	Then the men feared Yahweh exceedingly and they offered a sacrifice to Yahweh and made vows 	0
49	In whose image was man created?	01001027	So God created man in his own image in the image of God created he him male and female created he them 	And God created man in his own image in the image of God created he him male and female created he them 	And God prepareth the man in His image in the image of God He prepared him a male and a female He prepared them 	God created man in his own image In God s image he created him male and female he created them 	1
50	In whose image was man created?	01001025	And God made the beast of the earth after his kind and cattle after their kind and every thing that creepeth upon the earth after his kind and God saw that it was good 	And God made the beasts of the earth after their kind and the cattle after their kind and everything that creepeth upon the ground after its kind and God saw that it was good 	And God maketh the beast of the earth after its kind and the cattle after their kind and every creeping thing of the ground after its kind and God seeth that it is good 	God made the animals of the earth after their kind and the cattle after their kind and everything that creeps on the ground after its kind God saw that it was good 	0
51	In whose image was man created?	01001026	And God said Let us make man in our image after our likeness and let them have dominion over the fish of the sea and over the fowl of the air and over the cattle and over all the earth and over every creeping thing that creepeth upon the earth 	And God said Let us make man in our image after our likeness and let them have dominion over the fish of the sea and over the birds of the heavens and over the cattle and over all the earth and over every creeping thing that creepeth upon the earth 	And God saith Let Us make man in Our image according to Our likeness and let them rule over fish of the sea and over fowl of the heavens and over cattle and over all the earth and over every creeping thing that is creeping on the earth 	God said Let us make man in our image after our likeness and let them have dominion over the fish of the sea and over the birds of the sky and over the cattle and over all the earth and over every creeping thing that creeps on the earth 	0
52	How many apostles did Jesus choose?	42006013	And when it was day he called unto him his disciples and of them he chose twelve whom also he named apostles 	And when it was day he called his disciples and he chose from them twelve whom also he named apostles 	and when it became day he called near his disciples and having chosen from them twelve whom also he named apostles 	When it was day he called his disciples and from them he chose twelve whom he also named apostles 	1
53	How many apostles did Jesus choose?	42006011	And they were filled with madness and communed one with another what they might do to Jesus 	But they were filled with madness and communed one with another what they might do to Jesus 	and they were filled with madness and were speaking with one another what they might do to Jesus 	But they were filled with rage and talked with one another about what they might do to Jesus 	0
54	How many apostles did Jesus choose?	42006012	And it came to pass in those days that he went out into a mountain to pray and continued all night in prayer to God 	And it came to pass in these days that he went out into the mountain to pray and he continued all night in prayer to God 	And it came to pass in those days he went forth to the mountain to pray and was passing the night in the prayer of God 	It happened in these days that he went out to the mountain to pray and he continued all night in prayer to God 	0
55	What are the wages of sin?	45006023	For the wages of sin is death but the gift of God is eternal life through Jesus Christ our Lord 	For the wages of sin is death but the free gift of God is eternal life in Christ Jesus our Lord 	for the wages of the sin is death and the gift of God is life age during in Christ Jesus our Lord 	For the wages of sin is death but the free gift of God is eternal life in Christ Jesus our Lord 	1
56	What are the wages of sin?	45006021	What fruit had ye then in those things whereof ye are now ashamed for the end of those things is death 	What fruit then had ye at that time in the things whereof ye are now ashamed for the end of those things is death 	what fruit therefore were ye having then in the things of which ye are now ashamed for the end of those is death 	What fruit then did you have at that time in the things of which you are now ashamed For the end of those things is death 	0
57	What are the wages of sin?	45006022	But now being made free from sin and become servants to God ye have your fruit unto holiness and the end everlasting life 	But now being made free from sin and become servants to God ye have your fruit unto sanctification and the end eternal life 	And now having been freed from the sin and having become servants to God ye have your fruit to sanctification and the end life age during 	But now being made free from sin and having become servants of God you have your fruit of sanctification and the result of eternal life 	0
58	Who else other than the wise men came to visit Jesus when he was a small child?	42002015	And it came to pass as the angels were gone away from them into heaven the shepherds said one to another Let us now go even unto Bethlehem and see this thing which is come to pass which the Lord hath made known unto us 	And it came to pass when the angels went away from them into heaven the shepherds said one to another Let us now go even unto Bethlehem and see this thing that is come to pass which the Lord hath made known unto us 	And it came to pass when the messengers were gone away from them to the heavens that the men the shepherds said unto one another We may go over indeed unto Bethlehem and see this thing that hath come to pass that the Lord did make known to us 	It happened when the angels went away from them into the sky that the shepherds said one to another Let s go to Bethlehem now and see this thing that has happened which the Lord has made known to us 	1
59	Who else other than the wise men came to visit Jesus when he was a small child?	42002013	And suddenly there was with the angel a multitude of the heavenly host praising God and saying 	And suddenly there was with the angel a multitude of the heavenly host praising God and saying 	And suddenly there came with the messenger a multitude of the heavenly host praising God and saying 	Suddenly there was with the angel a multitude of the heavenly host praising God and saying 	0
60	Who else other than the wise men came to visit Jesus when he was a small child?	42002014	Glory to God in the highest and on earth peace good will toward men 	Glory to God in the highest And on earth peace among men in whom he is well pleased 	 Glory in the highest to God and upon earth peace among men good will 	 Glory to God in the highest On earth peace good will toward men 	0
61	Who lied when he was asked to reveal the source of his great strength?	07016015	And she said unto him How canst thou say I love thee when thine heart is not with me thou hast mocked me these three times and hast not told me wherein thy great strength lieth 	And she said unto him How canst thou say I love thee when thy heart is not with me thou hast mocked me these three times and hast not told me wherein thy great strength lieth 	And she saith unto him How dost thou say I have loved thee and thy heart is not with me these three times thou hast played upon me and hast not declared to me wherein thy great power is 	She said to him How can you say I love you when your heart is not with me you have mocked me these three times and have not told me in which your great strength lies 	1
62	Who lied when he was asked to reveal the source of his great strength?	07016013	And Delilah said unto Samson Hitherto thou hast mocked me and told me lies tell me wherewith thou mightest be bound And he said unto her If thou weavest the seven locks of my head with the web 	And Delilah said unto Samson Hitherto thou hast mocked me and told me lies tell me wherewith thou mightest be bound And he said unto her If thou weavest the seven locks of my head with the web 	And Delilah saith unto Samson Hitherto thou hast played upon me and dost speak unto me lies declare to me wherewith thou art bound And he saith unto her If thou weavest the seven locks of my head with the web 	Delilah said to Samson Hitherto you have mocked me and told me lies tell me with which you might be bound He said to her If you weave the seven locks of my head with the web 	0
63	Who lied when he was asked to reveal the source of his great strength?	07016014	And she fastened it with the pin and said unto him The Philistines be upon thee Samson And he awaked out of his sleep and went away with the pin of the beam and with the web 	And she fastened it with the pin and said unto him The Philistines are upon thee Samson And he awaked out of his sleep and plucked away the pin of the beam and the web 	And she fixeth it with the pin and saith unto him Philistines are upon thee Samson and he awaketh out of his sleep and journeyeth with the pin of the weaving machine and with the web 	She fastened it with the pin and said to him The Philistines are on you Samson He awakened out of his sleep and plucked away the pin of the beam and the web 	0
64	What was the name of the man Jesus' mother was engaged to at the time she became pregnant?	40001019	Then Joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily 	And Joseph her husband being a righteous man and not willing to make her a public example was minded to put her away privily 	and Joseph her husband being righteous and not willing to make her an example did wish privately to send her away 	Joseph her husband being a righteous man and not willing to make her a public example intended to put her away secretly 	1
65	What was the name of the man Jesus' mother was engaged to at the time she became pregnant?	40001017	So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations 	So all the generations from Abraham unto David are fourteen generations and from David unto the carrying away to Babylon fourteen generations and from the carrying away to Babylon unto the Christ fourteen generations 	All the generations therefore from Abraham unto David are fourteen generations and from David unto the Babylonian removal fourteen generations and from the Babylonian removal unto the Christ fourteen generations 	So all the generations from Abraham to David are fourteen generations from David to the exile to Babylon fourteen generations and from the carrying away to Babylon to the Christ fourteen generations 	0
66	What was the name of the man Jesus' mother was engaged to at the time she became pregnant?	40001018	Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost 	Now the birth of Jesus Christ was on this wise When his mother Mary had been betrothed to Joseph before they came together she was found with child of the Holy Spirit 	And of Jesus Christ the birth was thus For his mother Mary having been betrothed to Joseph before their coming together she was found to have conceived from the Holy Spirit 	Now the birth of Jesus Christ was like this for after his mother Mary was engaged to Joseph before they came together she was found pregnant by the Holy Spirit 	0
67	From what disaster did the Ark save Noah?	01007007	And Noah went in and his sons and his wife and his sons wives with him into the ark because of the waters of the flood 	And Noah went in and his sons and his wife and his sons wives with him into the ark because of the waters of the flood 	And Noah goeth in and his sons and his wife and his sons wives with him unto the ark from the presence of the waters of the deluge 	Noah went into the ark with his sons his wife and his sons wives because of the waters of the flood 	1
68	From what disaster did the Ark save Noah?	01007005	And Noah did according unto all that the LORD commanded him 	And Noah did according unto all that Jehovah commanded him 	And Noah doth according to all that Jehovah hath commanded him 	Noah did everything that Yahweh commanded him 	0
69	From what disaster did the Ark save Noah?	01007006	And Noah was six hundred years old when the flood of waters was upon the earth 	And Noah was six hundred years old when the flood of waters was upon the earth 	and Noah is a son of six hundred years and the deluge of waters hath been upon the earth 	Noah was six hundred years old when the flood of waters came on the earth 	0
70	What happened to Jesus forty days after his resurrection?	44001009	And when he had spoken these things while they beheld he was taken up and a cloud received him out of their sight 	And when he had said these things as they were looking he was taken up and a cloud received him out of their sight 	And these things having said they beholding he was taken up and a cloud did receive him up from their sight 	When he had said these things as they were looking he was taken up and a cloud received him out of their sight 	1
71	What happened to Jesus forty days after his resurrection?	44001007	And he said unto them It is not for you to know the times or the seasons which the Father hath put in his own power 	And he said unto them It is not for you to know times or seasons which the Father hath set within His own authority 	and he said unto them It is not yours to know times or seasons that the Father did appoint in His own authority 	He said to them It isn t for you to know times or seasons which the Father has set within His own authority 	0
72	What happened to Jesus forty days after his resurrection?	44001008	But ye shall receive power after that the Holy Ghost is come upon you and ye shall be witnesses unto me both in Jerusalem and in all Judaea and in Samaria and unto the uttermost part of the earth 	But ye shall receive power when the Holy Spirit is come upon you and ye shall be my witnesses both in Jerusalem and in all Judaea and Samaria and unto the uttermost part of the earth 	but ye shall receive power at the coming of the Holy Spirit upon you and ye shall be witnesses to me both in Jerusalem and in all Judea and Samaria and unto the end of the earth 	But you will receive power when the Holy Spirit has come upon you You will be witnesses to me in Jerusalem in all Judea and Samaria and to the uttermost parts of the earth 	0
73	What animals did Jesus cause to run into the sea and drown?	40008032	And he said unto them Go And when they were come out they went into the herd of swine and behold the whole herd of swine ran violently down a steep place into the sea and perished in the waters 	And he said unto them Go And they came out and went into the swine and behold the whole herd rushed down the steep into the sea and perished in the waters 	and he saith to them Go And having come forth they went to the herd of the swine and lo the whole herd of the swine rushed down the steep to the sea and died in the waters 	He said to them Go They came out and went into the herd of pigs and behold the whole herd of pigs rushed down the cliff into the sea and died in the water 	1
74	What animals did Jesus cause to run into the sea and drown?	40008030	And there was a good way off from them an herd of many swine feeding 	Now there was afar off from them a herd of many swine feeding 	And there was far off from them a herd of many swine feeding 	Now there was a herd of many pigs feeding far away from them 	0
